,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Guerrero Negro,MX,27.9769,-114.0611,71.4,74,2,12.03,clear sky
155,Bambanglipuro,ID,-7.95,110.2833,79.16,79,100,8.16,overcast clouds
156,Ozinki,RU,51.1786,49.6769,54.39,22,100,14.88,overcast clouds
157,Fushun,CN,41.8558,123.9233,40.71,36,0,3.51,clear sky
158,Rocha,UY,-34.4833,-54.3333,49.23,94,0,5.1,clear sky
159,Dauphin,CA,51.1494,-100.0502,62.74,51,40,6.91,scattered clouds
160,Charters Towers,AU,-20.1,146.2667,81.34,45,61,14.92,light rain
161,Kailua,US,21.4022,-157.7394,85.41,90,100,8.05,heavy intensity rain
162,Upernavik,GL,72.7868,-56.1549,19.94,81,78,5.26,broken clouds
163,Mehamn,NO,71.0357,27.8492,42.75,87,100,4.61,overcast clouds
164,Chuy,UY,-33.6971,-53.4616,53.29,88,0,6.02,clear sky
165,Yellowknife,CA,62.456,-114.3525,36.12,64,40,6.91,scattered clouds
166,Bonthe,SL,7.5264,-12.505,77.0,88,100,4.61,overcast clouds
167,Whitefish,US,48.4111,-114.3376,69.55,62,0,6.91,clear sky
168,Coihaique,CL,-45.5752,-72.0662,47.01,76,100,2.3,light rain
169,Turmalina,BR,-17.2856,-42.73,66.52,86,35,0.51,scattered clouds
170,Yakuplu,TR,40.9889,28.6758,63.01,67,0,5.75,clear sky
171,Kholodnyy,RU,62.7167,147.95,19.53,71,100,23.17,overcast clouds
172,Ancud,CL,-41.8697,-73.8203,47.19,92,27,4.79,scattered clouds
173,San Ignacio,BZ,17.1561,-89.0714,86.14,66,20,4.61,few clouds
174,Severo-Kurilsk,RU,50.6789,156.125,46.13,92,100,20.8,light rain
175,Port-Cartier,CA,50.0334,-66.8654,48.42,94,100,4.07,light rain
176,Hambantota,LK,6.1241,81.1185,77.34,94,40,6.91,scattered clouds
177,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.19,64,92,3.18,overcast clouds
178,Dangara,IN,29.6799,75.8931,74.17,74,0,4.59,clear sky
179,Makinsk,KZ,52.6292,70.4169,40.51,38,25,7.58,scattered clouds
180,Acapulco,MX,16.8634,-99.8901,80.26,82,6,5.03,clear sky
181,Concepcion Del Oro,MX,24.6333,-101.4167,60.15,63,66,3.69,broken clouds
182,Riyadh,SA,24.6877,46.7219,78.94,32,0,3.6,clear sky
183,Taga,RO,46.95,24.05,41.32,91,15,0.58,light rain
184,Cozumel,MX,20.5083,-86.9458,80.01,73,12,5.99,few clouds
185,Iralaya,HN,15.0,-83.2333,75.94,92,100,7.67,overcast clouds
186,Big Rapids,US,43.6981,-85.4837,59.07,76,0,3.44,clear sky
187,Ilulissat,GL,69.2167,-51.1,16.83,77,18,5.57,few clouds
188,Ngama,TD,11.7833,17.1667,77.23,76,100,5.84,overcast clouds
189,Khash,IR,28.2211,61.2158,64.81,20,0,4.56,clear sky
190,Ajdabiya,LY,30.7554,20.2263,70.52,67,0,8.25,clear sky
191,Iskateley,RU,67.6803,53.1512,40.08,80,100,11.86,overcast clouds
192,Batemans Bay,AU,-35.7167,150.1833,58.1,82,100,11.63,moderate rain
193,Cedar City,US,37.6775,-113.0619,63.39,36,0,6.87,clear sky
194,Bose,IT,45.4612,8.0137,63.21,81,33,2.86,scattered clouds
195,Santiago,CL,-33.4569,-70.6483,56.86,60,75,9.22,broken clouds
196,Gat,IL,31.61,34.7642,74.39,100,0,0.6,clear sky
197,Chara,RU,56.9064,118.2631,21.81,64,26,3.27,scattered clouds
198,Ribeira Grande,PT,38.5167,-28.7,70.92,87,100,11.05,light rain
199,Sao Filipe,CV,14.8961,-24.4956,78.04,78,82,1.83,broken clouds
200,Bijie,CN,27.3125,105.2942,66.04,82,51,13.35,broken clouds
201,Lebu,CL,-37.6167,-73.65,49.68,93,14,5.44,few clouds
202,Chunskiy,RU,56.0815,99.6342,27.95,82,96,2.3,overcast clouds
203,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.19,100,100,6.71,light intensity shower rain
204,Cherskiy,RU,68.75,161.3,27.03,62,7,8.48,clear sky
205,Tamale,GH,9.4008,-0.8393,75.51,88,97,4.25,overcast clouds
206,Mbini,GQ,1.574,9.6134,75.2,88,100,2.64,overcast clouds
207,Anloga,GH,5.7947,0.8973,77.5,88,92,9.31,overcast clouds
208,Quelimane,MZ,-17.8786,36.8883,75.15,88,0,7.0,clear sky
209,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,95,100,9.08,moderate rain
210,Qaanaaq,GL,77.484,-69.3632,16.57,77,100,6.11,overcast clouds
211,Saint George,US,37.1041,-113.5841,88.39,25,0,3.0,clear sky
212,Bongandanga,CD,1.5,21.05,72.88,87,100,2.17,overcast clouds
213,Cidreira,BR,-30.1811,-50.2056,59.65,86,2,4.88,clear sky
214,Provideniya,RU,64.3833,-173.3,41.36,75,40,11.18,scattered clouds
215,Faanui,PF,-16.4833,-151.75,78.53,72,11,25.28,few clouds
216,Staryy Nadym,RU,65.6118,72.6842,35.73,88,86,11.48,overcast clouds
217,Kirakira,SB,-10.4544,161.9205,84.33,70,21,10.36,few clouds
218,Cap Malheureux,MU,-19.9842,57.6142,67.46,76,87,1.99,overcast clouds
219,Kavieng,PG,-2.5744,150.7967,84.38,68,68,17.83,broken clouds
220,Komsomolskiy,UZ,40.4272,71.7189,56.12,41,4,4.61,clear sky
221,Shahrud,IR,36.4182,54.9763,64.89,30,0,2.3,clear sky
222,Geraldton,AU,-28.7667,114.6,63.01,82,100,11.5,overcast clouds
223,Asahikawa,JP,43.7678,142.3703,49.21,66,75,3.44,broken clouds
224,Atar,MR,20.5169,-13.0499,93.33,21,8,8.84,clear sky
225,Marsa Matruh,EG,31.3525,27.2453,75.4,69,40,8.05,scattered clouds
226,Alta Floresta,BR,-9.8756,-56.0861,73.29,86,70,3.67,light rain
227,Clarence Town,AU,-32.5833,151.7833,64.62,56,100,8.3,moderate rain
228,Kayerkan,RU,69.3497,87.7602,32.52,100,100,3.91,light snow
229,Porto Novo,BJ,6.4965,2.6036,75.81,92,27,4.29,scattered clouds
230,Kaitangata,NZ,-46.2817,169.8464,38.01,90,100,19.15,overcast clouds
231,Shimoda,JP,34.6667,138.95,77.36,81,100,2.55,overcast clouds
232,Sandpoint,US,48.2766,-116.5533,72.86,61,0,0.0,clear sky
233,Butaritari,KI,3.0707,172.7902,81.88,75,30,18.14,light rain
234,Naze,JP,28.3667,129.4833,81.52,71,6,5.61,clear sky
235,Zharkent,KZ,44.1628,80.0,51.58,64,88,2.13,overcast clouds
236,Khasan,RU,42.4308,130.6434,45.79,36,0,12.06,clear sky
237,Kahului,US,20.8947,-156.47,79.97,89,77,7.0,light rain
238,Galesong,ID,-5.3166,119.3661,80.62,70,100,2.3,overcast clouds
239,Wanaka,NZ,-44.7,169.15,40.57,67,90,8.55,overcast clouds
240,Kambove,CD,-10.8764,26.5969,64.54,33,17,4.41,few clouds
241,Ushumun,RU,52.7833,126.5333,34.95,48,100,14.85,overcast clouds
242,Bartlesville,US,36.7473,-95.9808,75.94,36,100,5.95,overcast clouds
243,Fuyang,CN,32.9,115.8167,49.26,88,100,9.89,moderate rain
244,Miri,MY,4.4148,114.0089,78.94,89,40,4.61,scattered clouds
245,Segezha,RU,63.7415,34.3222,47.1,92,100,6.76,overcast clouds
246,Hualmay,PE,-11.0964,-77.6139,61.16,79,22,10.74,few clouds
247,Constitucion,CL,-35.3333,-72.4167,50.83,89,63,4.76,broken clouds
248,Chunhuhub,MX,19.55,-88.6833,76.87,70,68,1.07,broken clouds
249,Baie-Saint-Paul,CA,47.4411,-70.4986,53.37,81,14,3.96,few clouds
250,Fort Nelson,CA,58.8053,-122.7002,47.79,61,75,9.22,smoke
251,Shelburne,CA,44.0787,-80.2041,56.19,71,9,2.48,clear sky
252,Pisco,PE,-13.7,-76.2167,60.85,77,0,14.97,clear sky
253,Sinnamary,GF,5.3833,-52.95,78.93,84,14,10.6,few clouds
254,Airai,TL,-8.9266,125.4092,71.04,69,78,2.21,broken clouds
255,Manggar,ID,-2.8833,108.2667,82.29,72,100,1.68,overcast clouds
256,Porto-Vecchio,FR,41.591,9.2795,64.06,82,20,8.05,few clouds
257,Iqaluit,CA,63.7506,-68.5145,33.53,100,75,0.0,broken clouds
258,Kogon,UZ,39.7228,64.5517,48.24,46,0,9.22,clear sky
259,Miraflores,MX,19.2167,-98.8083,64.02,90,55,1.59,broken clouds
260,Kieta,PG,-6.2167,155.6333,86.58,61,62,5.19,broken clouds
261,Lavrentiya,RU,65.5833,-171.0,37.85,70,7,7.4,clear sky
262,Tasiilaq,GL,65.6145,-37.6368,20.98,66,5,7.67,clear sky
263,Edd,ER,13.9297,41.6925,89.83,59,87,6.42,overcast clouds
264,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,88.0,32,100,1.21,overcast clouds
265,Santa Cruz,BO,-17.8,-63.1667,80.06,69,73,10.36,broken clouds
266,Plerin,FR,48.5425,-2.7798,61.2,84,54,5.01,broken clouds
267,Sapa,PH,5.1544,120.3241,81.37,77,100,1.7,overcast clouds
268,Isangel,VU,-19.55,169.2667,78.91,83,75,6.91,broken clouds
269,Fortuna,US,40.5982,-124.1573,65.91,73,50,1.01,scattered clouds
270,Norman Wells,CA,65.282,-126.8329,39.24,81,75,8.05,broken clouds
271,Lodja,CD,-3.4833,23.4333,68.0,99,100,1.86,overcast clouds
272,Coos Bay,US,43.3665,-124.2179,62.31,95,9,3.67,clear sky
273,Jalu,LY,29.0331,21.5482,71.49,58,0,8.05,clear sky
274,Damaturu,NG,11.747,11.9608,77.11,70,100,5.68,overcast clouds
275,Pudozh,RU,61.8099,36.5345,45.66,96,100,5.68,overcast clouds
276,Obo,CF,5.3998,26.4869,68.79,96,100,0.2,overcast clouds
277,Vardo,NO,70.3705,31.1107,44.58,87,75,11.5,broken clouds
278,Barao De Melgaco,BR,-16.1944,-55.9675,80.76,57,3,4.05,clear sky
279,Broken Hill,AU,-31.95,141.4333,75.94,43,12,18.77,few clouds
280,Shwebo,MM,22.5667,95.7,77.76,89,49,3.78,scattered clouds
281,La Ronge,CA,55.1001,-105.2842,61.05,51,40,4.61,smoke
282,Ayorou,NE,14.7308,0.9174,89.11,45,4,8.19,clear sky
283,Sambava,MG,-14.2667,50.1667,69.49,76,99,8.01,overcast clouds
284,San Juan De La Maguana,DO,18.8059,-71.2299,74.95,86,100,1.95,overcast clouds
285,Polunochnoye,RU,60.8697,60.4153,41.22,78,64,2.37,broken clouds
286,Hue,VN,16.4667,107.6,78.91,89,40,3.44,scattered clouds
287,Pombia,IT,45.653,8.6336,61.21,90,40,3.44,scattered clouds
288,Kirkenaer,NO,60.4564,12.0582,56.03,94,100,12.06,overcast clouds
289,Syracuse,IT,37.0881,15.2792,67.37,56,57,3.09,broken clouds
290,Litovko,RU,49.2361,135.1742,39.24,40,0,19.13,clear sky
291,Lake City,US,30.1897,-82.6393,64.85,72,0,3.44,clear sky
292,Juneau,US,58.3019,-134.4197,57.11,100,100,7.78,overcast clouds
293,Baymak,RU,52.5933,58.3225,36.43,46,100,4.9,overcast clouds
294,Tuy Hoa,VN,13.0833,109.3,79.3,87,100,4.21,overcast clouds
295,Alibag,IN,18.6411,72.8792,82.47,85,81,7.7,broken clouds
296,Araouane,ML,18.9048,-3.5265,91.27,13,0,4.38,clear sky
297,Maniitsoq,GL,65.4167,-52.9,35.01,54,93,6.31,overcast clouds
298,Cockburn Town,TC,21.4612,-71.1419,83.28,76,99,5.82,overcast clouds
299,Jackson,US,42.4165,-122.8345,87.39,31,100,1.01,overcast clouds
300,Alugan,PH,12.2188,125.4808,82.49,80,100,6.13,overcast clouds
301,Carnarvon,AU,-24.8667,113.6333,69.84,68,48,11.27,scattered clouds
302,Vathi,GR,38.4,23.6,66.47,57,20,3.36,few clouds
303,Leningradskiy,RU,69.3833,178.4167,23.65,84,38,3.71,scattered clouds
304,Antropovo,RU,58.3988,43.0066,46.44,88,99,9.71,overcast clouds
305,Yar-Sale,RU,66.8333,70.8333,37.74,73,100,10.54,overcast clouds
306,Ilhabela,BR,-23.7781,-45.3581,66.83,94,96,5.32,overcast clouds
307,Mnogovershinnyy,RU,53.9353,139.9242,30.42,63,52,16.82,broken clouds
308,Mmathubudukwane,BW,-24.6,26.4333,77.09,35,27,11.81,scattered clouds
309,Dungarpur,IN,23.8333,73.7167,76.53,54,45,3.62,scattered clouds
310,Sakakah,SA,29.9697,40.2064,76.57,16,30,3.69,scattered clouds
311,Staraya Mayna,RU,54.6,48.95,50.11,73,100,14.56,overcast clouds
312,Baruun-Urt,MN,46.6806,113.2792,30.13,55,1,3.27,clear sky
313,Loiza,PR,18.4313,-65.8802,82.08,82,35,11.83,scattered clouds
314,Novyy Urgal,RU,51.0736,132.5642,35.19,38,9,10.16,clear sky
315,Outjo,NA,-20.1167,16.15,65.73,31,0,5.57,clear sky
316,Kaminokawa,JP,36.4333,139.9167,67.28,79,100,6.29,overcast clouds
317,Talnakh,RU,69.4865,88.3972,33.21,99,100,1.41,light snow
318,Avera,US,33.194,-82.5271,63.91,58,0,5.61,clear sky
319,Churapcha,RU,62.0025,132.4325,26.64,62,17,12.46,few clouds
320,Athabasca,CA,54.7169,-113.2854,63.01,35,26,7.47,scattered clouds
321,Bluefield,US,37.2698,-81.2223,52.3,57,89,5.12,overcast clouds
322,Port Hardy,CA,50.6996,-127.4199,62.17,75,100,6.69,overcast clouds
323,Hasaki,JP,35.7333,140.8333,73.8,78,100,24.63,overcast clouds
324,Awbari,LY,26.5921,12.7805,71.38,39,0,8.48,clear sky
325,Okhotsk,RU,59.3833,143.3,34.02,50,100,15.32,overcast clouds
326,Crestview,US,30.7621,-86.5705,73.24,72,49,2.53,scattered clouds
327,Bayeux,BR,-7.125,-34.9322,73.06,84,25,7.34,scattered clouds
328,Kirovskiy,RU,45.0917,133.5136,42.91,35,0,8.9,clear sky
329,Salinopolis,BR,-0.6136,-47.3561,79.32,77,51,10.38,broken clouds
330,Sechura,PE,-5.5569,-80.8222,63.14,79,96,15.77,overcast clouds
331,Siirt,TR,37.9326,41.9403,69.73,24,27,6.91,scattered clouds
332,Ketchikan,US,55.3422,-131.6461,56.77,93,100,2.91,overcast clouds
333,Neiafu,TO,-18.65,-173.9833,78.85,84,100,13.4,overcast clouds
334,Aksarka,RU,66.5606,67.7975,33.26,84,6,0.81,clear sky
335,Tairua,NZ,-37.0167,175.85,60.62,61,100,14.83,overcast clouds
336,Poso,ID,-1.3959,120.7524,84.83,64,89,0.43,overcast clouds
337,Walvis Bay,NA,-22.9575,14.5053,55.09,90,0,7.83,clear sky
338,Torbay,CA,47.6666,-52.7314,50.58,85,0,5.99,clear sky
339,Zasechnoye,RU,53.1092,45.0764,48.38,85,99,12.39,overcast clouds
340,Doba,TD,8.65,16.85,69.28,93,100,2.62,overcast clouds
341,Alyangula,AU,-13.8483,136.4192,85.21,63,21,11.25,few clouds
342,Thinadhoo,MV,0.5333,72.9333,80.67,77,100,15.37,heavy intensity rain
343,Saint-Pierre,RE,-21.3393,55.4781,67.68,68,100,6.91,overcast clouds
344,Porterville,US,36.0652,-119.0168,87.75,20,0,4.85,clear sky
345,Ayia Marina,GR,37.75,23.5333,65.3,48,0,12.82,clear sky
346,Dwarka,IN,22.2394,68.9678,80.46,71,9,9.44,clear sky
